,RunId,iteration,Step,height,width,density,minority_pc,preference,Number of Happy Agents,Average Utility of Majority Agents,Average Utility of Minority Agents
66,11,0,80,70,60,0.7,0.2,0.25,1355,0.6088808490005595,-0.13549247895505231
67,11,0,100,70,60,0.7,0.2,0.25,1331,0.6012120380401029,-0.13207917870344482
68,12,0,0,70,60,0.7,0.2,0.5,0,0.0,0.0
69,12,0,20,70,60,0.7,0.2,0.5,738,0.3521725413909859,-0.1744361157705091
70,12,0,40,70,60,0.7,0.2,0.5,770,0.35657739551299966,-0.17702926490230805
71,12,0,60,70,60,0.7,0.2,0.5,757,0.3563366356816698,-0.18363522349579106
72,12,0,80,70,60,0.7,0.2,0.5,757,0.35666958849749975,-0.18064447240083253
73,12,0,100,70,60,0.7,0.2,0.5,731,0.349103890985617,-0.1793278041810332
74,13,0,0,70,60,0.7,0.2,0.75,0,0.0,0.0
75,13,0,20,70,60,0.7,0.2,0.75,491,0.19154213697465278,-0.13162401376075544
76,13,0,40,70,60,0.7,0.2,0.75,502,0.19360467289084574,-0.11936965139937246
77,13,0,60,70,60,0.7,0.2,0.75,493,0.1924724513092908,-0.1295582502407356
78,13,0,80,70,60,0.7,0.2,0.75,496,0.18916169421535745,-0.11717245402727296
79,13,0,100,70,60,0.7,0.2,0.75,496,0.19564318378607173,-0.12777370080452288
80,14,0,0,70,60,0.7,0.2,1.0,0,0.0,0.0
81,14,0,20,70,60,0.7,0.2,1.0,378,0.04224132575404634,0.05259295499021535
82,14,0,40,70,60,0.7,0.2,1.0,381,0.04092601652533216,0.05442875780449172
83,14,0,60,70,60,0.7,0.2,1.0,385,0.03978543472183436,0.045743639921722125
84,14,0,80,70,60,0.7,0.2,1.0,388,0.03925057465908777,0.059468673314074516
85,14,0,100,70,60,0.7,0.2,1.0,392,0.040996295778585844,0.04953638989842518
86,15,0,0,70,60,0.7,0.30000000000000004,0.0,0,0.0,0.0
87,15,0,20,70,60,0.7,0.30000000000000004,0.0,1424,0.7381762228701129,0.09798752834467121
88,15,0,40,70,60,0.7,0.30000000000000004,0.0,1535,0.7823777129899732,0.15047241118669671
89,15,0,60,70,60,0.7,0.30000000000000004,0.0,1706,0.8175251052802235,0.27546296296296285
90,15,0,80,70,60,0.7,0.30000000000000004,0.0,1945,0.8876457725947715,0.4217876039304598
91,15,0,100,70,60,0.7,0.30000000000000004,0.0,2154,0.9370545837382791,0.5574168556311386
92,16,0,0,70,60,0.7,0.30000000000000004,0.25,0,0.0,0.0
93,16,0,20,70,60,0.7,0.30000000000000004,0.25,816,0.4358187754880167,-0.06960800872860562
94,16,0,40,70,60,0.7,0.30000000000000004,0.25,887,0.4562016448784336,-0.060830835378291356
95,16,0,60,70,60,0.7,0.30000000000000004,0.25,895,0.4603693793238104,-0.052812011410348025
96,16,0,80,70,60,0.7,0.30000000000000004,0.25,878,0.45571429403463914,-0.055621693121693135
97,16,0,100,70,60,0.7,0.30000000000000004,0.25,938,0.47619387366818894,-0.04295845240683789
98,17,0,0,70,60,0.7,0.30000000000000004,0.5,0,0.0,0.0
99,17,0,20,70,60,0.7,0.30000000000000004,0.5,614,0.31067925702570637,-0.09902178527423153
100,17,0,40,70,60,0.7,0.30000000000000004,0.5,621,0.3123323448753271,-0.09966387620497198
101,17,0,60,70,60,0.7,0.30000000000000004,0.5,629,0.31463217380885783,-0.09959909762991946
102,17,0,80,70,60,0.7,0.30000000000000004,0.5,636,0.3148952079200884,-0.10242191625508652
103,17,0,100,70,60,0.7,0.30000000000000004,0.5,608,0.3084937774849007,-0.09957974818542345
104,18,0,0,70,60,0.7,0.30000000000000004,0.75,0,0.0,0.0
105,18,0,20,70,60,0.7,0.30000000000000004,0.75,468,0.1817545323739408,-0.07634562767268246
106,18,0,40,70,60,0.7,0.30000000000000004,0.75,472,0.1842949027295197,-0.08514163275660344
107,18,0,60,70,60,0.7,0.30000000000000004,0.75,467,0.18324017310772958,-0.08340830434152365
108,18,0,80,70,60,0.7,0.30000000000000004,0.75,469,0.18320309206526725,-0.08132390322948041
109,18,0,100,70,60,0.7,0.30000000000000004,0.75,469,0.18372512491624185,-0.07785999673842135
110,19,0,0,70,60,0.7,0.30000000000000004,1.0,0,0.0,0.0
111,19,0,20,70,60,0.7,0.30000000000000004,1.0,376,0.04995074350679638,0.0257794137441887
112,19,0,40,70,60,0.7,0.30000000000000004,1.0,381,0.0482931071972173,0.0344013708984355
113,19,0,60,70,60,0.7,0.30000000000000004,1.0,385,0.04342758629870777,0.03892046925315038
114,19,0,80,70,60,0.7,0.30000000000000004,1.0,389,0.05040226136116596,0.03567390426490238
115,19,0,100,70,60,0.7,0.30000000000000004,1.0,391,0.046690496159325245,0.04271529007341149
116,20,0,0,70,60,0.7,0.4,0.0,0,0.0,0.0
117,20,0,20,70,60,0.7,0.4,0.0,611,0.3824877173091462,0.033361678004535114
118,20,0,40,70,60,0.7,0.4,0.0,760,0.45137471655329003,0.08556547619047625
119,20,0,60,70,60,0.7,0.4,0.0,965,0.5040580120937298,0.15324546485260787
120,20,0,80,70,60,0.7,0.4,0.0,1378,0.6222600151171632,0.32402919501133776
121,20,0,100,70,60,0.7,0.4,0.0,1653,0.7040296674225334,0.4736465419501125
122,21,0,0,70,60,0.7,0.4,0.25,0,0.0,0.0
123,21,0,20,70,60,0.7,0.4,0.25,523,0.33153993427660317,-0.003972403744602862
124,21,0,40,70,60,0.7,0.4,0.25,639,0.3692254850951031,0.00785336680334234
125,21,0,60,70,60,0.7,0.4,0.25,599,0.35598263468248725,0.016716366912061614
126,21,0,80,70,60,0.7,0.4,0.25,584,0.3520720569430214,0.00454912558630757
127,21,0,100,70,60,0.7,0.4,0.25,629,0.3666821818148871,0.0075713518855030325
128,22,0,0,70,60,0.7,0.4,0.5,0,0.0,0.0
129,22,0,20,70,60,0.7,0.4,0.5,441,0.22917786216465255,-0.022372050989345516
130,22,0,40,70,60,0.7,0.4,0.5,477,0.24251237976164564,-0.015746338489733773
131,22,0,60,70,60,0.7,0.4,0.5,474,0.24144236842377667,-0.014092106591495056
132,22,0,80,70,60,0.7,0.4,0.5,497,0.2500929938185313,-0.01552288152704005
133,22,0,100,70,60,0.7,0.4,0.5,489,0.2480660262582959,-0.01601338023793995
134,23,0,0,70,60,0.7,0.4,0.75,0,0.0,0.0
135,23,0,20,70,60,0.7,0.4,0.75,417,0.16888771109661527,-0.04725699783337988
136,23,0,40,70,60,0.7,0.4,0.75,425,0.17072662017622942,-0.04554369835833872
137,23,0,60,70,60,0.7,0.4,0.75,421,0.17235160140920927,-0.04413833170254406
138,23,0,80,70,60,0.7,0.4,0.75,411,0.16648113202663092,-0.03813690573261259
139,23,0,100,70,60,0.7,0.4,0.75,428,0.17096122410151238,-0.04578797700587086
140,24,0,0,70,60,0.7,0.4,1.0,0,0.0,0.0
141,24,0,20,70,60,0.7,0.4,1.0,376,0.03200592261257632,0.04791491939241476
142,24,0,40,70,60,0.7,0.4,1.0,379,0.044321488108181165,0.045754511850402364
143,24,0,60,70,60,0.7,0.4,1.0,383,0.03856687271560094,0.048564905414220594
144,24,0,80,70,60,0.7,0.4,1.0,387,0.04654842149949809,0.04359332774205585
145,24,0,100,70,60,0.7,0.4,1.0,391,0.038005674111349565,0.04600844904171725
146,25,0,0,70,60,0.7,0.5,0.0,0,0.0,0.0
147,25,0,20,70,60,0.7,0.5,0.0,113,0.07395124716553285,0.11472789115646229
148,25,0,40,70,60,0.7,0.5,0.0,168,0.08884920634920647,0.11447845804988652
149,25,0,60,70,60,0.7,0.5,0.0,248,0.11517573696145111,0.1454365079365078
150,25,0,80,70,60,0.7,0.5,0.0,332,0.1487018140589566,0.17544217687074817
151,25,0,100,70,60,0.7,0.5,0.0,729,0.29045351473922787,0.29436507936507883
152,26,0,0,70,60,0.7,0.5,0.25,0,0.0,0.0
153,26,0,20,70,60,0.7,0.5,0.25,203,0.11616001537601325,0.08299327493554498
154,26,0,40,70,60,0.7,0.5,0.25,352,0.16398881356195472,0.12118659335880479
155,26,0,60,70,60,0.7,0.5,0.25,356,0.16608121330724027,0.12012120259062521
156,26,0,80,70,60,0.7,0.5,0.25,442,0.1846253261578602,0.14559022924238174
157,26,0,100,70,60,0.7,0.5,0.25,470,0.19287020858571735,0.14774549203242934
158,27,0,0,70,60,0.7,0.5,0.5,0,0.0,0.0
159,27,0,20,70,60,0.7,0.5,0.5,279,0.05086031901345012,0.12886951355884813
160,27,0,40,70,60,0.7,0.5,0.5,355,0.04342512347404712,0.18032941943900838
161,27,0,60,70,60,0.7,0.5,0.5,366,0.052336649271580854,0.18710476656415964
162,27,0,80,70,60,0.7,0.5,0.5,367,0.04992028546578452,0.1885474715000154
163,27,0,100,70,60,0.7,0.5,0.5,367,0.05090035100798313,0.1898535007610352
164,28,0,0,70,60,0.7,0.5,0.75,0,0.0,0.0
165,28,0,20,70,60,0.7,0.5,0.75,344,0.0715604712204516,0.05445343319976381
166,28,0,40,70,60,0.7,0.5,0.75,353,0.0799015508029697,0.043471212685987685
167,28,0,60,70,60,0.7,0.5,0.75,364,0.09558023095082803,0.04034477603826925
168,28,0,80,70,60,0.7,0.5,0.75,369,0.09677934644177308,0.03681660221166095
169,28,0,100,70,60,0.7,0.5,0.75,365,0.0976459750566893,0.04237435156711085
170,29,0,0,70,60,0.7,0.5,1.0,0,0.0,0.0
171,29,0,20,70,60,0.7,0.5,1.0,377,0.05626067778709688,0.03401205230950836
172,29,0,40,70,60,0.7,0.5,1.0,383,0.03867952660516278,0.03605038362376927
173,29,0,60,70,60,0.7,0.5,1.0,388,0.049383716957102676,0.03198987357500099
174,29,0,80,70,60,0.7,0.5,1.0,393,0.044240362811791514,0.037803559780076545
175,29,0,100,70,60,0.7,0.5,1.0,394,0.05129810828441007,0.040524026962383206
176,30,1,0,70,60,0.7,0.0,0.0,0,0.0,0.0
177,30,1,12,70,60,0.7,0.0,0.0,2951,0.9153911564625841,0.0
178,31,1,0,70,60,0.7,0.0,0.25,0,0.0,0.0
179,31,1,20,70,60,0.7,0.0,0.25,2539,0.8035217283260325,0.0
180,31,1,40,70,60,0.7,0.0,0.25,2507,0.7975660663808887,0.0
181,31,1,60,70,60,0.7,0.0,0.25,2494,0.7959711156151955,0.0
182,31,1,80,70,60,0.7,0.0,0.25,2492,0.7963850060572162,0.0
183,31,1,100,70,60,0.7,0.0,0.25,2491,0.7954584459354496,0.0
184,32,1,0,70,60,0.7,0.0,0.5,0,0.0,0.0
185,32,1,20,70,60,0.7,0.0,0.5,1070,0.4599099571335398,0.0
186,32,1,40,70,60,0.7,0.0,0.5,1118,0.4640795359239584,0.0
187,32,1,60,70,60,0.7,0.0,0.5,1114,0.46201099617929503,0.0
188,32,1,80,70,60,0.7,0.0,0.5,1134,0.46685218836393083,0.0
189,32,1,100,70,60,0.7,0.0,0.5,1112,0.46309131643524926,0.0
190,33,1,0,70,60,0.7,0.0,0.75,0,0.0,0.0
191,33,1,20,70,60,0.7,0.0,0.75,592,0.25391354487000256,0.0
192,33,1,40,70,60,0.7,0.0,0.75,596,0.2544974256826019,0.0
193,33,1,60,70,60,0.7,0.0,0.75,583,0.2517297432671697,0.0
194,33,1,80,70,60,0.7,0.0,0.75,598,0.2539166899636569,0.0
195,33,1,100,70,60,0.7,0.0,0.75,597,0.2549688402758366,0.0
196,34,1,0,70,60,0.7,0.0,1.0,0,0.0,0.0
197,34,1,20,70,60,0.7,0.0,1.0,374,0.045680272108844074,0.0
198,34,1,40,70,60,0.7,0.0,1.0,378,0.04401345012891073,0.0
199,34,1,60,70,60,0.7,0.0,1.0,382,0.04528857204982495,0.0
200,34,1,80,70,60,0.7,0.0,1.0,385,0.04346224334482696,0.0
201,34,1,100,70,60,0.7,0.0,1.0,389,0.04248408039014768,0.0
202,35,1,0,70,60,0.7,0.1,0.0,0,0.0,0.0
203,35,1,20,70,60,0.7,0.1,0.0,2409,1.0046548248929181,-0.03545918367346941
204,35,1,40,70,60,0.7,0.1,0.0,2427,1.037736205593335,0.001615646258503384
205,35,1,60,70,60,0.7,0.1,0.0,2400,1.038561350466099,0.025963718820861684
206,35,1,80,70,60,0.7,0.1,0.0,2377,1.0313995968757719,-0.006405895691609986
207,35,1,100,70,60,0.7,0.1,0.0,2386,1.0332640463592695,-0.003769841269841277
208,36,1,0,70,60,0.7,0.1,0.25,0,0.0,0.0
209,36,1,20,70,60,0.7,0.1,0.25,1777,0.6754618736129643,-0.2007735571397509
